REGIAO: Sudeste;
UF: SP;
ESTACAO: A701;
NOME: SAO PAULO - IAG;
CODIGO (WMO): A701;
LATITUDE: -23.651;
LONGITUDE: -46.623;
DATA DE FUNDACAO: 01/01/1960;

Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);VENTO, VELOCIDADE HORARIA (m/s);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mb);
2022/01/01;0000;0,3;22,6;24,7;21,2;81,8;86,1;76,4;1,3;946,6;
2022/01/01;0300;0,4;19,2;21,2;17,7;68,2;73,6;62,4;0,7;933,8;
2022/01/01;0600;0,4;25,5;27,1;23,0;61,1;65,8;57,2;1,2;939,7;
2022/01/01;0900;0,3;20,7;22,4;18,8;64,5;69,6;59,5;0,1;937,7;
2022/01/01;1200;0,3;19,3;21,2;17,5;53,4;59,3;50,2;0,8;934,5;
2022/01/01;1500;0,3;15,3;18,0;13,6;80,7;84,8;77,3;0,4;938,4;
2022/01/01;1800;0,3;23,5;26,0;21,7;82,0;86,1;76,9;1,3;946,0;
2022/01/01;2100;0,3;21,6;23,7;18,8;65,0;68,0;61,0;2,4;937,9;
2022/01/02;0000;0,8;21,4;23,6;19,8;87,7;93,9;82,6;1,2;939,7;
2022/01/02;0300;0,3;16,0;18,8;13,4;74,0;78,6;69,0;1,1;926,8;
2022/01/02;0600;0,5;23,1;24,1;21,5;55,6;59,8;50,8;0,0;948,0;
2022/01/02;0900;0,2;23,9;25,7;22,0;64,6;70,7;58,4;0,6;933,3;
2022/01/02;1200;0,1;20,9;23,0;19,7;65,3;70,2;61,1;0,1;944,3;
2022/01/02;1500;0,1;27,1;28,8;24,7;68,1;72,2;63,8;0,3;943,8;
2022/01/02;1800;0,1;18,1;20,4;15,9;82,6;88,2;77,2;4,9;940,6;
2022/01/02;2100;0,3;24,3;25,9;21,4;76,1;83,1;72,3;6,3;934,1;
2022/01/03;0000;0,6;20,1;21,5;18,2;72,7;76,4;68,1;2,3;938,6;
2022/01/03;0300;0,1;19,1;21,2;17,2;59,3;63,8;54,9;0,4;940,1;
2022/01/03;0600;0,0;21,0;23,3;19,0;92,3;96,0;86,4;0,2;939,6;
2022/01/03;0900;0,1;17,3;19,1;16,1;71,7;76,4;67,4;0,1;934,7;
2022/01/03;1200;0,3;24,6;26,5;22,5;72,4;77,5;67,7;1,6;947,2;
2022/01/03;1500;0,7;21,6;23,6;19,1;64,9;71,6;59,1;2,3;938,6;
2022/01/03;1800;0,1;20,2;22,7;17,6;68,9;73,4;64,0;1,0;937,8;
2022/01/03;2100;0,3;18,6;21,5;16,8;74,6;79,0;67,8;0,5;939,0;
2022/01/04;0000;0,6;22,3;24,9;20,4;71,9;75,4;66,1;6,0;940,3;
2022/01/04;0300;0,3;21,1;23,0;19,2;77,8;81,9;72,1;1,0;932,0;
2022/01/04;0600;0,3;18,4;20,5;16,5;73,8;78,9;67,8;0,6;939,7;
2022/01/04;0900;0,0;16,9;18,6;15,7;57,6;62,2;51,4;0,0;941,6;
2022/01/04;1200;0,2;25,4;27,4;22,6;82,6;86,7;77,5;0,1;948,3;
2022/01/04;1500;0,0;19,6;21,0;18,2;67,8;76,5;61,3;1,3;925,6;
2022/01/04;1800;0,6;24,5;25,9;23,0;66,4;70,7;60,7;1,0;935,9;
2022/01/04;2100;0,2;24,1;25,5;21,8;67,0;72,9;64,4;3,8;936,1;
2022/01/05;0000;0,1;16,4;18,0;14,2;64,5;70,7;58,4;6,3;943,3;
2022/01/05;0300;0,1;24,6;26,3;21,9;79,6;84,5;76,2;1,9;928,2;
2022/01/05;0600;0,2;18,7;20,9;17,3;90,5;95,7;84,0;1,5;943,7;
2022/01/05;0900;0,2;21,5;23,5;19,5;79,4;86,0;75,6;3,2;940,4;
2022/01/05;1200;0,6;22,1;24,2;19,0;77,0;84,1;70,3;0,5;950,3;
2022/01/05;1500;0,0;18,1;20,5;15,7;68,8;73,4;64,0;0,4;943,5;
2022/01/05;1800;0,3;25,9;28,3;24,5;83,0;89,2;78,2;0,0;936,7;
2022/01/05;2100;0,2;18,8;21,3;17,7;79,8;84,3;74,5;0,7;922,9;
2022/01/06;0000;0,1;18,8;21,2;16,6;86,5;92,0;82,2;3,3;937,4;
2022/01/06;0300;0,4;21,5;24,3;19,0;79,2;86,2;73,2;1,7;933,9;
2022/01/06;0600;0,8;16,9;18,9;15,4;72,0;78,1;65,7;1,0;932,5;
2022/01/06;0900;0,1;16,3;18,9;15,8;65,5;71,2;60,3;2,4;925,8;
2022/01/06;1200;0,7;21,9;23,6;20,2;56,6;61,2;50,4;3,7;937,9;
2022/01/06;1500;0,3;20,4;22,0;19,0;63,0;68,2;55,5;1,6;944,9;
2022/01/06;1800;0,0;22,9;25,4;20,8;74,6;78,2;69,9;0,2;937,2;
2022/01/06;2100;0,6;19,7;21,4;17,0;68,1;73,0;60,8;1,4;943,9;
2022/01/07;0000;0,1;19,5;21,3;17,7;73,0;78,5;68,9;7,0;942,0;
2022/01/07;0300;0,3;23,3;25,1;21,4;61,9;65,4;58,0;1,6;943,6;
2022/01/07;0600;0,3;21,6;23,6;19,4;62,5;68,4;57,1;0,3;943,8;
2022/01/07;0900;0,3;17,5;20,0;15,7;46,4;52,4;40,1;0,9;934,4;
2022/01/07;1200;0,2;19,6;22,3;18,5;82,2;88,3;76,7;0,8;945,0;
2022/01/07;1500;0,1;16,4;18,1;14,2;61,7;68,0;55,6;3,0;941,2;
2022/01/07;1800;0,4;23,3;25,0;21,4;67,1;73,5;60,9;0,9;936,0;
2022/01/07;2100;0,2;27,1;29,9;24,0;73,3;78,0;68,6;1,3;941,9;
2022/01/08;0000;0,1;20,3;22,3;18,0;74,2;79,3;68,0;0,5;950,5;
2022/01/08;0300;0,1;11,9;14,5;9,6;71,0;76,9;65,3;0,4;932,7;
2022/01/08;0600;0,1;15,1;17,1;12,8;80,3;85,4;76,0;6,7;943,9;
2022/01/08;0900;0,1;21,4;23,8;19,5;81,3;86,5;76,9;2,1;938,3;
2022/01/08;1200;0,0;21,1;23,6;18,8;61,8;67,1;58,1;3,3;940,9;
2022/01/08;1500;0,2;25,6;27,6;24,2;69,5;74,7;63,4;0,3;945,4;
2022/01/08;1800;1,1;22,7;24,4;20,5;60,2;65,5;54,2;2,1;944,2;
2022/01/08;2100;0,3;20,2;22,5;18,2;63,7;69,6;57,3;3,6;945,8;
2022/01/09;0000;0,3;22,6;24,6;20,9;54,5;57,9;49,5;0,4;948,7;
2022/01/09;0300;0,1;11,8;13,3;8,7;77,7;82,6;73,2;2,2;942,9;
2022/01/09;0600;0,1;26,0;28,2;23,5;79,2;84,5;73,8;4,1;943,2;
2022/01/09;0900;0,2;20,7;22,7;17,9;70,7;76,1;65,9;1,8;938,2;
2022/01/09;1200;0,1;21,7;23,1;19,1;70,5;75,0;67,3;2,0;942,4;
2022/01/09;1500;0,2;24,3;27,4;22,6;64,2;68,8;59,8;2,7;930,6;
2022/01/09;1800;0,5;21,0;23,3;18,3;61,7;67,1;57,9;3,9;937,6;
2022/01/09;2100;0,1;22,2;24,3;20,2;69,4;73,0;65,5;0,4;936,9;
2022/01/10;0000;0,1;21,3;23,3;19,0;72,3;77,4;66,8;0,6;938,1;
2022/01/10;0300;0,0;19,4;20,5;17,1;63,0;69,8;57,8;2,7;932,5;
2022/01/10;0600;0,1;23,5;25,5;21,4;67,0;71,1;63,5;0,9;938,2;
2022/01/10;0900;0,4;21,3;22,5;18,8;72,1;79,5;67,5;0,1;951,2;
2022/01/10;1200;0,3;23,7;24,7;22,3;73,5;76,8;69,4;1,2;945,5;
2022/01/10;1500;0,0;20,5;23,3;17,9;81,5;85,9;76,8;0,2;934,5;
2022/01/10;1800;0,0;21,2;22,8;19,7;80,1;85,8;76,0;0,7;944,7;
2022/01/10;2100;1,1;22,4;24,2;19,6;73,4;80,2;67,8;0,2;943,3;
2022/01/11;0000;0,3;18,3;20,0;15,6;80,3;84,9;76,7;2,2;934,3;
2022/01/11;0300;0,1;18,1;21,0;16,4;67,1;71,4;61,7;1,6;933,0;
2022/01/11;0600;0,4;17,3;18,6;16,0;76,8;82,5;72,0;1,0;943,5;
2022/01/11;0900;0,6;18,0;20,2;15,9;76,7;84,4;72,5;0,2;942,8;
2022/01/11;1200;0,3;26,0;28,9;23,9;60,5;63,7;54,7;6,1;941,4;
2022/01/11;1500;0,6;24,4;26,7;22,2;66,3;72,3;61,9;0,6;944,8;
2022/01/11;1800;0,3;26,8;29,1;24,1;68,0;73,1;63,4;0,8;942,8;
2022/01/11;2100;0,3;23,0;25,6;21,6;60,0;66,2;55,1;1,0;941,1;
2022/01/12;0000;0,1;23,5;25,2;20,5;60,1;64,8;54,1;2,0;938,6;
2022/01/12;0300;0,2;23,7;26,4;21,0;76,6;81,7;71,8;3,1;942,5;
2022/01/12;0600;0,0;20,7;23,3;18,2;67,0;70,7;63,7;1,6;944,5;
2022/01/12;0900;0,2;16,3;19,1;14,5;64,6;69,1;60,5;5,7;947,6;
2022/01/12;1200;0,1;17,9;19,9;16,3;50,0;54,3;44,4;0,1;945,2;
2022/01/12;1500;0,3;24,1;27,1;23,2;64,3;70,2;58,9;0,2;940,5;
2022/01/12;1800;0,2;22,0;23,1;19,9;66,9;72,7;61,6;2,4;934,5;
2022/01/12;2100;0,6;14,0;15,5;11,8;76,1;80,5;71,5;2,0;940,3;
2022/01/13;0000;0,2;19,7;21,3;16,7;85,3;89,8;79,2;1,7;936,2;
2022/01/13;0300;0,8;21,8;22,9;20,3;70,9;76,1;66,6;1,9;926,2;
2022/01/13;0600;0,2;23,8;25,7;21,9;73,0;78,4;68,1;1,1;937,7;
2022/01/13;0900;0,3;17,8;19,6;15,7;66,1;70,6;61,4;0,3;941,8;
2022/01/13;1200;0,5;17,4;20,4;14,9;68,8;74,1;65,0;2,5;941,3;
2022/01/13;1500;0,5;24,2;26,2;22,3;65,7;71,3;61,5;1,7;942,1;
2022/01/13;1800;0,0;23,3;24,4;21,6;65,5;69,8;59,5;2,6;929,0;
2022/01/13;2100;0,8;25,8;28,3;23,7;73,8;78,9;68,6;0,8;945,6;
2022/01/14;0000;0,4;18,9;21,2;17,0;74,4;78,5;69,0;1,4;941,3;
2022/01/14;0300;0,8;23,0;24,8;20,8;74,8;79,4;70,2;3,7;936,0;
2022/01/14;0600;0,2;21,3;23,0;19,2;64,7;69,6;60,6;3,9;940,1;
2022/01/14;0900;0,2;23,3;26,2;21,3;59,1;65,3;55,5;3,5;937,5;
2022/01/14;1200;0,6;19,8;21,9;17,8;65,5;71,4;59,3;0,3;946,9;
2022/01/14;1500;0,0;23,2;24,8;21,8;52,5;58,5;47,3;4,6;937,9;
2022/01/14;1800;0,4;15,7;17,1;14,6;82,5;88,1;78,8;5,8;948,2;
2022/01/14;2100;0,6;19,3;21,5;17,1;70,2;74,9;65,2;3,4;938,6;
2022/01/15;0000;0,0;19,9;22,5;18,3;74,1;78,8;70,0;0,8;943,3;
2022/01/15;0300;0,1;21,2;23,9;19,7;53,4;58,8;46,7;0,7;942,4;
