REGIAO: Sudeste;
UF: SP;
ESTACAO: A711;
NOME: SAO PAULO - MIRANTE;
CODIGO (WMO): A711;
LATITUDE: -23.496;
LONGITUDE: -46.62;
DATA DE FUNDACAO: 01/01/1960;

Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);VENTO, VELOCIDADE HORARIA (m/s);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mb);
2022/01/01;0000;0,0;21,5;24,0;19,3;68,4;75,1;64,1;2,9;940,4;
2022/01/01;0300;0,8;20,2;22,8;18,0;73,0;77,6;68,2;4,7;943,6;
2022/01/01;0600;0,3;23,7;25,8;21,3;82,1;87,7;78,9;1,5;944,9;
2022/01/01;0900;0,1;21,5;23,9;19,6;75,5;81,2;69,0;0,4;932,0;
2022/01/01;1200;0,0;23,7;26,2;21,6;55,6;61,9;50,2;4,1;942,2;
2022/01/01;1500;0,1;14,5;17,2;12,6;80,7;86,5;76,3;1,8;942,1;
2022/01/01;1800;0,2;24,5;25,8;22,9;61,9;69,2;56,7;0,8;936,5;
2022/01/01;2100;0,2;21,8;23,4;20,5;82,1;87,0;77,3;2,4;948,2;
2022/01/02;0000;1,1;18,2;20,2;15,0;64,0;68,0;58,8;0,9;941,1;
2022/01/02;0300;0,1;21,1;22,8;19,3;62,3;67,1;57,4;5,1;938,4;
2022/01/02;0600;0,0;22,0;24,0;20,0;62,6;66,6;56,5;1,9;931,0;
2022/01/02;0900;0,0;24,2;26,5;22,4;71,7;76,9;67,6;1,2;940,0;
2022/01/02;1200;0,4;22,1;24,3;20,6;77,9;82,3;73,6;3,0;935,8;
2022/01/02;1500;0,1;22,8;25,0;21,0;75,6;78,7;71,2;0,9;944,3;
2022/01/02;1800;0,1;13,5;16,0;11,8;58,7;64,1;52,1;1,4;936,1;
2022/01/02;2100;0,0;24,5;26,6;23,2;91,3;95,7;86,5;3,6;938,4;
2022/01/03;0000;0,8;24,1;26,0;23,0;56,1;60,5;50,9;3,1;937,4;
2022/01/03;0300;0,0;23,3;26,0;21,9;72,6;77,1;68,4;0,3;937,3;
2022/01/03;0600;0,1;23,6;25,6;21,9;86,3;90,9;81,0;1,3;938,5;
2022/01/03;0900;0,3;19,8;21,6;16,8;66,0;71,1;60,2;0,0;936,2;
